poiid,created_time,created_date,id,text,source,user_id,user_location,lat_poi,lng_poi,lat_event,lng_event,category1,category2
B2094757DB6EABFF4498,Fri Nov 08 00:36:21 +0800 2013,Fri Nov 08 2013,3642160450851770,_______________________________ ____:http://t.cn/z825OXc,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2042278194,__ ___,22.564297,114.054405,22.564297,114.054405,Fourástar hotels,Travel
B2094653D26DA6FF429D,Fri Nov 08 00:36:43 +0800 2013,Fri Nov 08 2013,3642160534748710,________ ____:http://t.cn/z8GOF2k,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2078639335,__ __,22.545429,114.135483,22.545429,114.135483,Buildings,Others
B2094757D06BA1F94992,Fri Nov 08 00:38:22 +0800 2013,Fri Nov 08 2013,3642160953843800,_________________________________________________ ____:http://t.cn/z8AiZ6c,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1837579720,__ __,22.552387,113.911469,22.552387,113.911469,Unknowná,Others
B2094653D26BA2FB4493,Fri Nov 08 00:38:58 +0800 2013,Fri Nov 08 2013,3642161122081900,[_][_][_][_][_]______________ ____:http://t.cn/z8LJvG7,"<a href=""http://app.weibo.com/t/feed/2x24P5"" rel=""nofollow"">MEIZU MX2</a>",2905244035,__,22.56185,114.09306,22.56185,114.09306,Bus Station,Travel
B2094652DB64A5FF4692,Fri Nov 08 00:40:25 +0800 2013,Fri Nov 08 2013,3642161469769320,_______[__][__][__] ____:http://t.cn/z82A7Yp,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",3194079007,__ __,22.53561,114.083,22.53561,114.083,Buildings,Others
B2094653D269A0FF489A,Fri Nov 08 00:41:56 +0800 2013,Fri Nov 08 2013,3642161864241800,________[_]  loveyou' ____:http://t.cn/zQRUm9B,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1850616535,__ ___,22.54142,114.110672,22.54142,114.110672,Supermarkets,Shopping
B2094653D26EA0F4409E,Fri Nov 08 00:41:57 +0800 2013,Fri Nov 08 2013,3642161851984320,_________________________[_][_] ____:http://t.cn/z8AUeMv,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",2008226841,__ __,22.54072,114.03746,22.54072,114.03746,Vacation,Travel
B2094652DB6AA4F5419E,Fri Nov 08 00:41:57 +0800 2013,Fri Nov 08 2013,3642161864568580,__________ ____:http://t.cn/z8AsQnt,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",1922870841,__ __,22.50095,113.930672,22.50095,113.930672,Residence,Home/Work
B2094652DB65AAFB469A,Fri Nov 08 00:42:02 +0800 2013,Fri Nov 08 2013,3642161885215920,2013_11_8_ ____:http://t.cn/z8AlT7b,"<a href=""http://app.weibo.com/t/feed/c66T5g"" rel=""nofollow"">Android___</a>",3104473045,__,22.54451,114.12386,22.54451,114.12386,Fourástar hotels,Travel
B2094653D26EA0F4489C,Fri Nov 08 00:42:11 +0800 2013,Fri Nov 08 2013,3642161927164120,____________[__][__][__] ____:http://t.cn/z8ArEHz,"<a href=""http://app.weibo.com/t/feed/3DdoFH"" rel=""nofollow"">____-__Note_</a>",2129027637,__ __,22.52161,114.04362,22.52161,114.04362,Hostelsá,Travel
B2094652DB6AA3F8489D,Fri Nov 08 00:43:13 +0800 2013,Fri Nov 08 2013,3642162174986020,___ ____:http://t.cn/zQe4PQb,"<a href=""http://app.weibo.com/t/feed/9ksdit"" rel=""nofollow"">iPhone___</a>",2095623300,__ __,22.516979,113.911118,22.516979,113.911118,Residence,Home/Work
